Year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,Total,AVG
1999,11,43,39,23,29,27,20,6,5,0,1,204,18.545
2000,30,116,106,100,92,92,62,26,3,8,0,635,57.727
2001,42,124,109,94,98,81,69,27,15,2,2,663,60.272
2002,44,170,125,108,83,85,64,36,14,6,3,738,67.091
2003,44,149,90,102,93,79,60,30,9,3,2,661,60.091
2004,54,121,124,106,84,84,72,31,13,1,1,691,62.818
2005,48,121,150,85,81,75,52,43,9,5,3,672,61.091
2006,36,108,135,94,78,91,65,43,24,3,1,678,61.636
2007,38,148,118,94,102,65,60,42,18,5,2,692,62.909
2008,44,154,174,113,89,82,49,44,19,1,2,771,70.091
2009,53,208,213,144,122,88,76,62,34,7,5,1012,92
2010,41,174,191,148,109,106,75,47,34,11,5,941,85.545
2011,44,189,210,160,89,75,57,37,40,21,3,925,84.091
2012,45,236,259,177,134,106,75,56,37,9,7,1141,103.727
2013,75,416,352,319,189,155,120,87,49,11,5,1778,161.636
2014,79,432,474,365,197,136,93,76,38,17,4,1911,173.727
2015,65,518,545,420,233,142,117,85,58,22,5,2210,200.909
2016,70,519,642,479,352,177,142,95,71,31,10,2588,235.272
2017,46,439,593,463,344,218,155,121,72,31,22,2504,227.636
